Domain Name,Problem Name,Search Method,Heuristic,Predicates,Actions,Objects,Constants,Variables,Operators,Initial h Value,Last Best h Value,Nodes Expanded,Plan Length
freecell,task01,iterative_deepening_search,None,11,10,21,0,526,4656,,,17494878,8
freecell,task01,astar_search,LmCutHeuristic,11,10,21,0,526,4656,4.000000,329,314,8
depot,task01,sat_solve,None,15,5,13,0,58,264,,,,
movie,task01,breadth_first_search,None,14,8,25,0,7,27,,,128,7
movie,task03,breadth_first_search,None,14,8,35,0,7,37,,,128,7
depot,task01,iterative_deepening_search,None,15,5,13,0,58,264,,,19728113,10
movie,task02,greedy_best_first_search,hMaxHeuristic,14,8,30,0,7,32,1.000000,121,122,7
movie,task04,astar_search,LandmarkHeuristic,14,8,40,0,7,42,7.000000,7,8,7
freecell,task01,weighted_astar_search,hMaxHeuristic,11,10,21,0,526,4656,3.000000,81,82,10
depot,task01,sat_solve,None,15,5,13,0,58,264,,,,
movie,task04,weighted_astar_search,hAddHeuristic,14,8,40,0,7,42,7.000000,7,8,7
movie,task04,iterative_deepening_search,None,14,8,40,0,7,42,,,36176,7
movie,task03,greedy_best_first_search,LandmarkHeuristic,14,8,35,0,7,37,7.000000,7,8,7
freecell,task01,weighted_astar_search,hAddHeuristic,11,10,21,0,526,4656,12.000000,10,11,10
movie,task03,greedy_best_first_search,hSAHeuristic,14,8,35,0,7,37,7.000000,7,8,7
movie,task04,breadth_first_search,None,14,8,40,0,7,42,,,128,7
movie,task02,breadth_first_search,None,14,8,30,0,7,32,,,128,7
freecell,task01,iterative_deepening_search,None,11,10,21,0,526,4656,,,,
depot,task01,breadth_first_search,None,15,5,13,0,58,264,,,485,10
movie,task02,greedy_best_first_search,hFFHeuristic,14,8,30,0,7,32,7.000000,7,8,7
freecell,task01,weighted_astar_search,hSAHeuristic,11,10,21,0,526,4656,12.000000,10,11,10
movie,task03,iterative_deepening_search,None,14,8,35,0,7,37,,,24804,7
movie,task01,astar_search,LandmarkHeuristic,14,8,25,0,7,27,7.000000,7,8,7
movie,task04,iterative_deepening_search,None,14,8,40,0,7,42,,,36176,7
logistics,task01,weighted_astar_search,hAddHeuristic,3,6,15,0,54,106,24.000000,20,21,20
depot,task01,breadth_first_search,None,15,5,13,0,58,264,,,485,10
movie,task02,breadth_first_search,None,14,8,30,0,7,32,,,128,7
depot,task01,greedy_best_first_search,BlindHeuristic,15,5,13,0,58,264,1.000000,399,400,10
movie,task03,enforced_hillclimbing_search,hFFHeuristic,14,8,35,0,7,37,7.000000,7,8,7
movie,task03,breadth_first_search,None,14,8,35,0,7,37,,,128,7
logistics,task01,astar_search,hAddHeuristic,3,6,15,0,54,106,24.000000,20,21,20
movie,task04,greedy_best_first_search,LmCutHeuristic,14,8,40,0,7,42,7.000000,7,8,7
movie,task04,astar_search,hSAHeuristic,14,8,40,0,7,42,7.000000,7,8,7
movie,task01,sat_solve,None,14,8,25,0,7,27,,,,
movie,task03,greedy_best_first_search,hAddHeuristic,14,8,35,0,7,37,7.000000,7,8,7
movie,task03,greedy_best_first_search,hMaxHeuristic,14,8,35,0,7,37,1.000000,121,122,7
movie,task04,greedy_best_first_search,BlindHeuristic,14,8,40,0,7,42,1.000000,121,122,7
movie,task01,iterative_deepening_search,None,14,8,25,0,7,27,,,9734,7
movie,task04,greedy_best_first_search,hAddHeuristic,14,8,40,0,7,42,7.000000,7,8,7
depot,task01,enforced_hillclimbing_search,LmCutHeuristic,15,5,13,0,58,264,10.000000,12,12,12
movie,task01,sat_solve,None,14,8,25,0,7,27,,,,
movie,task04,iterative_deepening_search,None,14,8,40,0,7,42,,,36176,7
depot,task01,breadth_first_search,None,15,5,13,0,58,264,,,485,10
movie,task04,enforced_hillclimbing_search,hSAHeuristic,14,8,40,0,7,42,7.000000,7,8,7
movie,task01,greedy_best_first_search,hSAHeuristic,14,8,25,0,7,27,7.000000,7,8,7
movie,task02,astar_search,hSAHeuristic,14,8,30,0,7,32,7.000000,7,8,7
depot,task01,astar_search,LmCutHeuristic,15,5,13,0,58,264,9.000000,12,13,10
movie,task04,sat_solve,None,14,8,40,0,7,42,,,,
movie,task01,greedy_best_first_search,LmCutHeuristic,14,8,25,0,7,27,7.000000,7,8,7
movie,task01,greedy_best_first_search,hMaxHeuristic,14,8,25,0,7,27,1.000000,121,122,7
movie,task03,greedy_best_first_search,LmCutHeuristic,14,8,35,0,7,37,7.000000,7,8,7
movie,task01,enforced_hillclimbing_search,LandmarkHeuristic,14,8,25,0,7,27,7.000000,7,8,7
freecell,task01,enforced_hillclimbing_search,hSAHeuristic,11,10,21,0,526,4656,11.000000,11,12,11
depot,task01,sat_solve,None,15,5,13,0,58,264,,,,
movie,task03,astar_search,LandmarkHeuristic,14,8,35,0,7,37,7.000000,7,8,7
movie,task01,breadth_first_search,None,14,8,25,0,7,27,,,128,7
depot,task01,greedy_best_first_search,hSAHeuristic,15,5,13,0,58,264,10.000000,15,16,10
freecell,task01,sat_solve,None,11,10,21,0,526,4656,,,,
movie,task01,enforced_hillclimbing_search,hFFHeuristic,14,8,25,0,7,27,7.000000,7,8,7
movie,task04,enforced_hillclimbing_search,BlindHeuristic,14,8,40,0,7,42,1.000000,,,
movie,task01,sat_solve,None,14,8,25,0,7,27,,,,
freecell,task01,astar_search,LandmarkHeuristic,11,10,21,0,526,4656,6.500000,347,348,8
depot,task01,iterative_deepening_search,None,15,5,13,0,58,264,,,19758792,10
movie,task04,iterative_deepening_search,None,14,8,40,0,7,42,,,36176,7
depot,task01,astar_search,hFFHeuristic,15,5,13,0,58,264,10.000000,10,11,10
depot,task01,iterative_deepening_search,None,15,5,13,0,58,264,,,19727901,10
movie,task04,breadth_first_search,None,14,8,40,0,7,42,,,128,7
movie,task04,breadth_first_search,None,14,8,40,0,7,42,,,128,7
depot,task01,sat_solve,None,15,5,13,0,58,264,,,,
movie,task02,enforced_hillclimbing_search,LandmarkHeuristic,14,8,30,0,7,32,7.000000,7,8,7
depot,task01,enforced_hillclimbing_search,hFFHeuristic,15,5,13,0,58,264,10.000000,14,14,10
depot,task01,weighted_astar_search,hAddHeuristic,15,5,13,0,58,264,11.000000,10,11,10
movie,task03,weighted_astar_search,hMaxHeuristic,14,8,35,0,7,37,1.000000,121,122,7
movie,task02,astar_search,hMaxHeuristic,14,8,30,0,7,32,1.000000,121,122,7
movie,task02,weighted_astar_search,hMaxHeuristic,14,8,30,0,7,32,1.000000,121,122,7
movie,task04,astar_search,hFFHeuristic,14,8,40,0,7,42,7.000000,7,8,7
depot,task01,enforced_hillclimbing_search,BlindHeuristic,15,5,13,0,58,264,1.000000,27519,397,10
logistics,task01,iterative_deepening_search,None,3,6,15,0,54,106,,,,
depot,task02,astar_search,hAddHeuristic,15,5,15,0,94,660,20.000000,18,19,16
movie,task01,iterative_deepening_search,None,14,8,25,0,7,27,,,9734,7
movie,task04,sat_solve,None,14,8,40,0,7,42,,,,
movie,task01,weighted_astar_search,LandmarkHeuristic,14,8,25,0,7,27,7.000000,7,8,7
freecell,task01,sat_solve,None,11,10,21,0,526,4656,,,,
movie,task01,weighted_astar_search,BlindHeuristic,14,8,25,0,7,27,1.000000,121,122,7
freecell,task01,weighted_astar_search,LmCutHeuristic,11,10,21,0,526,4656,4.000000,48,49,10
movie,task04,iterative_deepening_search,None,14,8,40,0,7,42,,,36176,7
depot,task01,weighted_astar_search,LmCutHeuristic,15,5,13,0,58,264,9.000000,11,12,10
movie,task03,weighted_astar_search,hSAHeuristic,14,8,35,0,7,37,7.000000,7,8,7
movie,task01,weighted_astar_search,hFFHeuristic,14,8,25,0,7,27,7.000000,7,8,7
movie,task01,greedy_best_first_search,LandmarkHeuristic,14,8,25,0,7,27,7.000000,7,8,7
movie,task02,weighted_astar_search,LmCutHeuristic,14,8,30,0,7,32,7.000000,7,8,7
movie,task03,enforced_hillclimbing_search,LandmarkHeuristic,14,8,35,0,7,37,7.000000,7,8,7
depot,task01,enforced_hillclimbing_search,hAddHeuristic,15,5,13,0,58,264,11.000000,10,11,10
movie,task01,greedy_best_first_search,BlindHeuristic,14,8,25,0,7,27,1.000000,121,122,7
movie,task02,greedy_best_first_search,hSAHeuristic,14,8,30,0,7,32,7.000000,7,8,7
depot,task01,greedy_best_first_search,hAddHeuristic,15,5,13,0,58,264,11.000000,10,11,10
movie,task03,iterative_deepening_search,None,14,8,35,0,7,37,,,24804,7
freecell,task01,breadth_first_search,None,11,10,21,0,526,4656,,,4230,8
movie,task01,enforced_hillclimbing_search,LmCutHeuristic,14,8,25,0,7,27,7.000000,7,8,7
movie,task03,iterative_deepening_search,None,14,8,35,0,7,37,,,24804,7
movie,task04,weighted_astar_search,hSAHeuristic,14,8,40,0,7,42,7.000000,7,8,7
movie,task01,breadth_first_search,None,14,8,25,0,7,27,,,128,7
depot,task01,breadth_first_search,None,15,5,13,0,58,264,,,482,10
movie,task04,astar_search,hMaxHeuristic,14,8,40,0,7,42,1.000000,121,122,7
depot,task01,astar_search,hAddHeuristic,15,5,13,0,58,264,11.000000,10,11,10
movie,task02,breadth_first_search,None,14,8,30,0,7,32,,,128,7
depot,task01,breadth_first_search,None,15,5,13,0,58,264,,,482,10
depot,task01,weighted_astar_search,hSAHeuristic,15,5,13,0,58,264,10.000000,12,13,10
movie,task03,astar_search,hMaxHeuristic,14,8,35,0,7,37,1.000000,121,122,7
movie,task02,astar_search,hFFHeuristic,14,8,30,0,7,32,7.000000,7,8,7
movie,task03,breadth_first_search,None,14,8,35,0,7,37,,,128,7
movie,task03,sat_solve,None,14,8,35,0,7,37,,,,
movie,task02,astar_search,BlindHeuristic,14,8,30,0,7,32,1.000000,121,122,7
depot,task01,sat_solve,None,15,5,13,0,58,264,,,,
movie,task01,iterative_deepening_search,None,14,8,25,0,7,27,,,9734,7
movie,task03,enforced_hillclimbing_search,BlindHeuristic,14,8,35,0,7,37,1.000000,,,
freecell,task01,astar_search,hAddHeuristic,11,10,21,0,526,4656,12.000000,10,11,10
movie,task03,iterative_deepening_search,None,14,8,35,0,7,37,,,24804,7
movie,task02,weighted_astar_search,hFFHeuristic,14,8,30,0,7,32,7.000000,7,8,7
movie,task01,astar_search,hMaxHeuristic,14,8,25,0,7,27,1.000000,121,122,7
movie,task03,enforced_hillclimbing_search,hSAHeuristic,14,8,35,0,7,37,7.000000,7,8,7
movie,task01,sat_solve,None,14,8,25,0,7,27,,,,
movie,task02,enforced_hillclimbing_search,hFFHeuristic,14,8,30,0,7,32,7.000000,7,8,7
freecell,task01,greedy_best_first_search,hMaxHeuristic,11,10,21,0,526,4656,3.000000,80,81,10
movie,task03,sat_solve,None,14,8,35,0,7,37,,,,
movie,task02,sat_solve,None,14,8,30,0,7,32,,,,
depot,task01,breadth_first_search,None,15,5,13,0,58,264,,,482,10
freecell,task01,astar_search,hSAHeuristic,11,10,21,0,526,4656,12.000000,10,11,10
freecell,task01,breadth_first_search,None,11,10,21,0,526,4656,,,4238,8
freecell,task01,astar_search,hFFHeuristic,11,10,21,0,526,4656,12.000000,10,11,10
movie,task03,sat_solve,None,14,8,35,0,7,37,,,,
depot,task01,greedy_best_first_search,hMaxHeuristic,15,5,13,0,58,264,4.000000,31,32,11
freecell,task01,iterative_deepening_search,None,11,10,21,0,526,4656,,,17607474,8
movie,task03,enforced_hillclimbing_search,hMaxHeuristic,14,8,35,0,7,37,1.000000,,,
movie,task03,weighted_astar_search,hAddHeuristic,14,8,35,0,7,37,7.000000,7,8,7
movie,task01,sat_solve,None,14,8,25,0,7,27,,,,
depot,task01,weighted_astar_search,BlindHeuristic,15,5,13,0,58,264,1.000000,396,397,10
freecell,task01,sat_solve,None,11,10,21,0,526,4656,,,,
depot,task01,enforced_hillclimbing_search,hMaxHeuristic,15,5,13,0,58,264,4.000000,235,92,11
movie,task01,sat_solve,None,14,8,25,0,7,27,,,,
freecell,task01,greedy_best_first_search,hFFHeuristic,11,10,21,0,526,4656,12.000000,11,12,11
movie,task01,enforced_hillclimbing_search,hAddHeuristic,14,8,25,0,7,27,7.000000,7,8,7
movie,task03,sat_solve,None,14,8,35,0,7,37,,,,
